"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
437,"GTES","Gates Industrial Corporation plc","Industrials","Specialty Industrial Machinery","USA",5775.22,23.52,22.75,-1.81%,2291275
438,"GTLB","Gitlab Inc","Technology","Software - Infrastructure","USA",3778.61,,22.69,-0.57%,4662902
439,"GTLS","Chart Industries Inc","Industrials","Specialty Industrial Machinery","USA",9898.60,800.31,206.80,-0.05%,2693237
440,"GTX","Garrett Motion Inc","Consumer Cyclical","Auto Parts","Switzerland",3341.59,11.51,17.59,-0.45%,1953215
441,"GVA","Granite Construction Inc","Industrials","Engineering & Construction","USA",5252.20,33.62,120.73,-2.38%,541295
442,"GXO","GXO Logistics Inc","Industrials","Integrated Freight & Logistics","USA",6023.61,173.51,52.52,0.10%,1444173
443,"HAE","Haemonetics Corp","Healthcare","Medical Devices","USA",2784.56,16.46,59.92,0.72%,972700
444,"HAFN","Hafnia Ltd","Industrials","Marine Shipping","Singapore",3316.61,9.85,6.66,0.15%,4087656
445,"HALO","Halozyme Therapeutics Inc","Healthcare","Biotechnology","USA",7512.96,25.55,63.66,0.16%,1134140
446,"HASI","HA Sustainable Infrastructure Capital Inc","Financial","Asset Management","USA",4522.59,25.93,35.41,-0.87%,668056
447,"HAYW","Hayward Holdings Inc","Industrials","Electrical Equipment & Parts","USA",3095.21,20.89,14.25,-0.21%,1422266
448,"HBM","Hudbay Minerals Inc","Basic Materials","Copper","Canada",8226.70,14.47,20.73,-5.13%,5816214
449,"HCC","Warrior Met Coal Inc","Basic Materials","Coking Coal","USA",4474.77,78.52,85.12,-0.26%,782744
450,"HCI","HCI Group Inc","Financial","Insurance - Property & Casualty","USA",2174.72,7.38,167.39,2.59%,102717
451,"HE","Hawaiian Electric Industries, Inc","Utilities","Utilities - Regulated Electric","USA",2534.07,20.61,14.68,-0.41%,2037784
452,"HESM","Hess Midstream LP","Energy","Oil & Gas Midstream","USA",8097.70,13.64,38.99,0.18%,1483908
453,"HG","Hamilton Insurance Group Ltd","Financial","Insurance - Reinsurance","Bermuda",2883.02,5.02,29.08,1.61%,377769
454,"HGTY","Hagerty Inc","Financial","Insurance - Property & Casualty","USA",3504.99,30.33,10.23,4.49%,173099
455,"HGV","Hilton Grand Vacations Inc","Consumer Cyclical","Resorts & Casinos","USA",3328.61,44.20,40.88,-2.34%,555435
456,"HHH","Howard Hughes Holdings Inc","Real Estate","Real Estate - Diversified","USA",3810.17,30.23,63.89,3.37%,656782
457,"HIMS","Hims & Hers Health Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",5646.04,47.44,24.77,3.90%,42982451
458,"HIW","Highwoods Properties, Inc","Real Estate","REIT - Office","USA",2358.02,14.81,21.45,-0.56%,1021565
459,"HLI","Houlihan Lokey Inc","Financial","Capital Markets","USA",9729.47,21.41,139.42,-0.32%,592437
460,"HLIO","Helios Technologies Inc","Industrials","Specialty Industrial Machinery","USA",2124.48,44.02,64.17,-2.37%,416879
461,"HLNE","Hamilton Lane Inc","Financial","Asset Management","USA",5401.82,17.38,96.85,2.78%,809889
462,"HMY","Harmony Gold Mining Co Ltd ADR","Basic Materials","Gold","South Africa",9453.83,10.45,15.13,-5.26%,5954175
463,"HNGE","Hinge Health Inc","Healthcare","Health Information Services","USA",3559.67,,45.00,1.21%,1078748
464,"HNI","HNI Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",2886.48,32.24,40.50,0.10%,1481651
465,"HOMB","Home Bancshares Inc","Financial","Banks - Regional","USA",5173.44,10.95,26.31,-0.08%,1507648
466,"HP","Helmerich & Payne, Inc","Energy","Oil & Gas Drilling","USA",3559.63,,35.65,5.32%,1507554
467,"HQY","Healthequity Inc","Healthcare","Health Information Services","USA",6647.80,35.66,77.81,1.33%,1159522
468,"HR","Healthcare Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",6272.32,,17.97,-1.43%,2117953
469,"HRB","H&R Block Inc","Consumer Cyclical","Personal Services","USA",3867.44,7.04,30.51,0.96%,2206118
470,"HRI","Herc Holdings Inc","Industrials","Rental & Leasing Services","USA",3634.35,,108.85,-1.88%,562651
471,"HSAI","Hesai Group ADR","Consumer Cyclical","Auto Parts","China",3128.57,55.40,24.04,-1.23%,1416424
472,"HSIC","Henry Schein Inc","Healthcare","Medical Distribution","USA",8668.19,23.11,75.57,0.80%,1193301
473,"HTGC","Hercules Capital Inc","Financial","Asset Management","USA",2579.08,7.65,14.04,0.00%,3007845
474,"HTH","Hilltop Holdings Inc","Financial","Financial Conglomerates","USA",2065.87,13.15,34.75,-0.40%,728943
475,"HTO","H2O America","Utilities","Utilities - Regulated Water","USA",2464.74,20.23,58.93,2.74%,396800
476,"HUBG","Hub Group, Inc","Industrials","Integrated Freight & Logistics","USA",2097.57,19.74,34.30,-1.72%,1103838
477,"HUN","Huntsman Corp","Basic Materials","Chemicals","USA",2093.33,,12.03,-6.02%,8441431
478,"HURN","Huron Consulting Group Inc","Industrials","Consulting Services","USA",2151.58,21.74,127.14,-1.29%,188828
479,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",5358.20,,48.32,-0.45%,2725223
480,"HWC","Hancock Whitney Corp","Financial","Banks - Regional","USA",5055.75,10.92,61.91,-0.31%,823169
481,"HWKN","Hawkins Inc","Basic Materials","Specialty Chemicals","USA",2923.78,35.36,139.88,0.12%,123329
482,"HXL","Hexcel Corp","Industrials","Aerospace & Defense","USA",6000.59,57.49,79.09,-4.31%,2513297
483,"HYMC","Hycroft Mining Holding Corporation","Basic Materials","Gold","USA",3453.00,,37.93,-5.46%,3292361
484,"IAC","IAC Inc","Communication Services","Internet Content & Information","USA",2865.59,,37.26,-0.05%,772547
485,"IBOC","International Bancshares Corp","Financial","Banks - Regional","USA",4195.75,10.20,67.48,0.24%,415404
486,"IBP","Installed Building Products Inc","Consumer Cyclical","Residential Construction","USA",7679.56,29.28,284.82,5.37%,477792
487,"IBRX","ImmunityBio Inc","Healthcare","Biotechnology","USA",8625.86,,8.39,7.29%,30623281
488,"ICL","ICL Group Ltd","Basic Materials","Agricultural Inputs","Israel",6930.91,30.71,5.38,-1.38%,1780431
489,"ICLR","Icon Plc","Healthcare","Diagnostics & Research","Ireland",7508.47,13.29,98.33,0.90%,970245
490,"ICUI","ICU Medical, Inc","Healthcare","Medical Instruments & Supplies","USA",3107.27,5115.85,125.85,-2.28%,256869
491,"IDA","Idacorp, Inc","Utilities","Utilities - Regulated Electric","USA",7817.07,24.10,142.39,0.99%,350112
492,"IDCC","Interdigital Inc","Technology","Software - Application","USA",9223.35,30.07,359.07,-0.91%,199364
493,"IDYA","Ideaya Biosciences Inc","Healthcare","Biotechnology","USA",2905.77,,33.09,0.79%,812928
494,"IEP","Icahn Enterprises L P","Energy","Oil & Gas Refining & Marketing","USA",4874.65,,7.65,0.79%,746950
495,"IESC","IES Holdings Inc","Industrials","Engineering & Construction","USA",8823.32,26.34,442.76,1.67%,129006
496,"IFS","Intercorp Financial Services Inc","Financial","Banks - Regional","Peru",5252.87,9.20,44.71,-0.07%,227467
497,"IHS","IHS Holding Ltd","Real Estate","Real Estate Services","United Kingdom",2734.22,5.88,8.20,0.49%,1550142
498,"IMAX","Imax Corp","Communication Services","Entertainment","Canada",2057.13,60.53,38.10,-0.55%,768529
499,"IMNM","Immunome Inc","Healthcare","Biotechnology","USA",2303.39,,20.36,-3.00%,983594
500,"IMVT","Immunovant Inc","Healthcare","Biotechnology","USA",4968.22,,24.41,-2.32%,1106627
501,"INDB","Independent Bank Corp","Financial","Banks - Regional","USA",3655.17,16.79,74.74,-0.45%,299493
502,"INDV","Indivior Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",3890.78,18.74,31.11,0.81%,13297326
503,"INFQ","Infleqtion Inc","Technology","Software - Infrastructure","USA",2182.04,,10.08,-5.62%,3074322
504,"INGM","Ingram Micro Holding Corp","Technology","Information Technology Services","USA",5044.70,15.41,21.49,0.33%,1071814
505,"INGR","Ingredion Inc","Consumer Defensive","Packaged Foods","USA",7070.62,10.06,112.33,0.91%,439907
506,"INSW","International Seaways Inc","Energy","Oil & Gas Midstream","USA",3257.77,10.57,65.91,-1.24%,478516
507,"INTA","Intapp Inc","Technology","Software - Application","USA",2062.15,,25.65,4.06%,1060513
508,"INTR","Inter & Co Inc","Financial","Banks - Regional","Brazil",3442.31,14.57,7.80,-3.47%,2943786
509,"IPAR","Interparfums Inc","Consumer Defensive","Household & Personal Products","USA",2934.25,17.46,91.49,0.74%,256132
510,"IPGP","IPG Photonics Corp","Technology","Semiconductor Equipment & Materials","USA",4681.13,152.07,110.95,1.22%,316395
511,"IRDM","Iridium Communications Inc","Communication Services","Telecom Services","USA",2609.23,23.38,24.86,0.32%,1529149
512,"IRON","Disc Medicine Inc","Healthcare","Biotechnology","USA",2291.13,,60.04,0.47%,384381
513,"IRT","Independence Realty Trust Inc","Real Estate","REIT - Residential","USA",3845.34,66.07,15.81,-1.68%,2451164
514,"IRTC","iRhythm Holdings Inc","Healthcare","Medical Devices","USA",3651.79,,113.00,-1.46%,649419
515,"ITGR","Integer Holdings Corp","Healthcare","Medical Devices","USA",2855.12,28.94,83.04,-0.32%,1051932
516,"ITRI","Itron Inc","Technology","Scientific & Technical Instruments","USA",4044.71,13.84,90.00,-0.68%,539891
517,"IVT","InvenTrust Properties Corp","Real Estate","REIT - Retail","USA",2427.32,21.95,31.24,1.17%,493116
518,"JBTM","JBT Marel Corp","Industrials","Specialty Industrial Machinery","USA",6738.97,,129.64,-4.16%,1220808
519,"JEF","Jefferies Financial Group Inc","Financial","Capital Markets","USA",7510.11,12.84,36.36,0.94%,3167875
520,"JHG","Janus Henderson Group plc","Financial","Asset Management","United Kingdom",7723.81,9.55,50.13,-0.52%,1493836
521,"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",9499.54,,9.70,-0.41%,23063364
522,"JOE","St. Joe Co","Real Estate","Real Estate - Diversified","USA",4055.73,35.31,70.48,1.56%,184774
523,"JOYY","JOYY Inc ADR","Communication Services","Internet Content & Information","Singapore",2078.00,14.83,61.74,0.84%,444763
524,"JPC","Nuveen Preferred & Income Opportunities Fund","Financial","Closed-End Fund - Debt","USA",2948.33,10.19,7.95,-0.75%,848626
525,"JXN","Jackson Financial Inc","Financial","Insurance - Life","USA",7399.69,,104.69,-0.02%,865148
526,"KAI","Kadant, Inc","Industrials","Specialty Industrial Machinery","USA",3579.74,35.12,303.65,-5.48%,141708
527,"KBH","KB Home","Consumer Cyclical","Residential Construction","USA",3345.04,8.60,52.95,-0.36%,1460115
528,"KBR","KBR Inc","Industrials","Engineering & Construction","USA",4634.98,10.87,36.65,-0.38%,1157192
529,"KC","Kingsoft Cloud Holdings Ltd ADR","Technology","Software - Application","China",4005.40,,13.54,0.00%,833312
530,"KD","Kyndryl Holdings Inc","Technology","Information Technology Services","USA",2784.27,11.77,12.35,-1.67%,2672790
531,"KEX","Kirby Corp","Industrials","Marine Shipping","USA",6703.07,19.74,124.95,0.60%,656124
532,"KFY","Korn Ferry","Industrials","Staffing & Employment Services","USA",3148.51,12.00,60.68,-1.37%,545634
533,"KGS","Kodiak Gas Services Inc","Energy","Oil & Gas Equipment & Services","USA",4654.12,62.15,54.20,-0.28%,904912
534,"KLAR","Klarna Group plc","Technology","Software - Infrastructure","United Kingdom",6006.18,,15.91,8.82%,9310433
535,"KLIC","Kulicke & Soffa Industries, Inc","Technology","Semiconductor Equipment & Materials","USA",3368.26,,64.37,1.55%,562855
536,"KMT","Kennametal Inc","Industrials","Tools & Accessories","USA",2910.03,26.73,38.19,-1.47%,1902436
537,"KMX","Carmax Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",5932.77,13.84,41.84,2.05%,2926503
538,"KN","Knowles Corp","Technology","Electronic Components","USA",2101.61,46.05,24.75,-1.04%,451701
539,"KNF","Knife River Corp","Basic Materials","Building Materials","USA",4446.44,28.49,78.47,0.28%,812127
540,"KNSA","Kiniksa Pharmaceuticals International Plc","Healthcare","Drug Manufacturers - Specialty & Generic","United Kingdom",3503.79,61.42,45.78,-0.63%,852872
541,"KNSL","Kinsale Capital Group Inc","Financial","Insurance - Property & Casualty","USA",8393.68,16.74,362.53,0.19%,127214
542,"KNTK","Kinetik Holdings Inc","Energy","Oil & Gas Midstream","USA",7270.73,17.48,44.84,-0.66%,1117200
543,"KNX","Knight-Swift Transportation Holdings Inc","Industrials","Trucking","USA",8434.77,128.00,51.93,-0.15%,5082008
544,"KOF","Coca-Cola Femsa S.A.B. DE C.V. ADR","Consumer Defensive","Beverages - Non-Alcoholic","Mexico",5102.84,16.33,97.16,-2.23%,236508
545,"KRC","Kilroy Realty Corp","Real Estate","REIT - Office","USA",3409.64,12.30,28.49,-2.83%,1210212
546,"KRG","Kite Realty Group Trust","Real Estate","REIT - Retail","USA",5198.76,29.35,25.14,-0.81%,2725519
547,"KRYS","Krystal Biotech Inc","Healthcare","Biotechnology","USA",7227.95,36.13,247.26,-1.61%,286777
548,"KTB","Kontoor Brands Inc","Consumer Cyclical","Apparel Manufacturing","USA",3729.10,16.66,67.51,1.73%,759860
549,"KVYO","Klaviyo Inc","Technology","Software - Application","USA",5827.28,,19.11,-0.80%,2390138
550,"KWR","Quaker Houghton","Basic Materials","Specialty Chemicals","USA",2053.34,,118.45,-2.04%,220348
551,"KYIV","Kyivstar Group Ltd","Communication Services","Telecom Services","United Arab Emirates",2555.66,,11.07,8.53%,2499232
552,"KYMR","Kymera Therapeutics Inc","Healthcare","Biotechnology","USA",6452.20,,79.03,1.97%,417168
553,"KYN","Kayne Anderson Energy Infrastructure Fund Inc","Financial","Closed-End Fund - Equity","USA",2377.91,,14.06,-1.06%,183348
554,"LAD","Lithia Motors, Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",5953.59,7.92,254.70,-0.45%,394058
555,"LASR","nLIGHT Inc","Technology","Semiconductors","USA",3492.54,,62.60,-0.27%,1059711
556,"LAUR","Laureate Education Inc","Consumer Defensive","Education & Training Services","USA",4890.40,17.89,34.26,1.66%,1757228
557,"LAZ","Lazard Inc","Financial","Capital Markets","USA",3806.09,18.67,40.53,-0.37%,1565163
558,"LB","Landbridge Company LLC","Energy","Oil & Gas Equipment & Services","USA",5765.50,79.91,74.79,2.85%,339722
559,"LBRDA","Liberty Broadband Corp","Communication Services","Telecom Services","USA",7277.45,,50.56,1.06%,306347
560,"LBRDK","Liberty Broadband Corp","Communication Services","Telecom Services","USA",7277.45,,50.74,1.24%,993302
561,"LBRT","Liberty Energy Inc","Energy","Oil & Gas Equipment & Services","USA",4897.20,33.69,30.22,-0.26%,3510429
562,"LBTYA","Liberty Global Ltd","Communication Services","Telecom Services","Bermuda",4044.34,,12.18,-1.93%,1469644
563,"LBTYK","Liberty Global Ltd","Communication Services","Telecom Services","Bermuda",4044.34,,11.91,-1.33%,665413
564,"LCID","Lucid Group Inc","Consumer Cyclical","Auto Manufacturers","USA",3244.07,,9.90,0.61%,5260250
565,"LCII","LCI Industries","Consumer Cyclical","Recreational Vehicles","USA",2985.20,16.32,123.35,0.02%,220758
566,"LEA","Lear Corp","Consumer Cyclical","Auto Parts","USA",5791.05,14.03,114.16,-1.29%,531170
567,"LEGN","Legend Biotech Corp ADR","Healthcare","Biotechnology","USA",3467.62,,18.75,-1.57%,1418116
568,"LEU","Centrus Energy Corp","Energy","Uranium","USA",4122.48,50.28,209.64,-2.42%,907585
569,"LEVI","Levi Strauss & Co","Consumer Cyclical","Apparel Manufacturing","USA",6993.27,16.26,17.91,-1.16%,2113755
570,"LFST","LifeStance Health Group Inc","Healthcare","Medical Care Facilities","USA",2467.33,253.20,6.33,0.00%,2293062
571,"LFUS","Littelfuse, Inc","Technology","Electronic Components","USA",8189.62,,326.18,0.11%,303955
572,"LGN","Legence Corp","Industrials","Engineering & Construction","USA",2376.05,,50.90,0.77%,738095
573,"LGND","Ligand Pharmaceuticals, Inc","Healthcare","Biotechnology","USA",4046.26,34.78,202.91,-4.05%,273480
574,"LIF","Life360 Inc","Technology","Software - Application","USA",3305.79,23.46,41.22,0.02%,1364570
575,"LINE","Lineage Inc","Real Estate","REIT - Industrial","USA",8272.54,,36.43,-1.19%,562194
576,"LION","Lionsgate Studios Corp","Financial","Shell Companies","Canada",2820.62,,9.72,-1.42%,1132876
577,"LIVN","LivaNova PLC","Healthcare","Medical Devices","United Kingdom",3197.17,,58.46,-1.42%,1034551
578,"LKQ","LKQ Corp","Consumer Cyclical","Auto Parts","USA",7485.58,12.48,29.34,-1.38%,2823449
579,"LLYVA","Liberty Live Holdings Inc","Communication Services","Entertainment","USA",8283.81,,90.11,-2.65%,162353
580,"LLYVK","Liberty Live Holdings Inc","Communication Services","Entertainment","USA",8461.24,,92.04,-2.85%,464116
581,"LMAT","Lemaitre Vascular Inc","Healthcare","Medical Instruments & Supplies","USA",2461.43,42.99,108.06,1.43%,156442
582,"LMND","Lemonade Inc","Financial","Insurance - Property & Casualty","USA",4212.55,,55.15,4.27%,1696314
583,"LNC","Lincoln National Corp","Financial","Insurance - Life","USA",6198.85,6.14,32.61,0.06%,1708784
584,"LNTH","Lantheus Holdings Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",5135.52,23.61,79.49,-1.16%,909267
585,"LOAR","Loar Holdings Inc","Industrials","Aerospace & Defense","USA",6054.56,85.96,64.67,2.60%,1620637
586,"LOPE","Grand Canyon Education Inc","Consumer Defensive","Education & Training Services","USA",4450.71,21.25,163.97,-0.11%,286467
587,"LPL","LG Display Co Ltd. ADR","Technology","Consumer Electronics","South Korea",3890.00,22.11,3.89,-2.51%,1147113
588,"LPX","Louisiana-Pacific Corp","Industrials","Building Products & Equipment","USA",5293.84,36.35,75.81,0.65%,439032
589,"LQDA","Liquidia Corp","Healthcare","Drug Manufacturers - Specialty & Generic","USA",3230.28,,36.66,-2.45%,1753755
590,"LRN","Stride Inc","Consumer Defensive","Education & Training Services","USA",3592.07,12.84,84.36,0.61%,458348
591,"LSTR","Landstar System, Inc","Industrials","Integrated Freight & Logistics","USA",5038.65,44.72,147.94,2.44%,634195
592,"LTH","Life Time Group Holdings Inc","Consumer Cyclical","Leisure","USA",5833.47,15.88,26.30,2.18%,4233647
593,"LUMN","Lumen Technologies Inc","Communication Services","Telecom Services","USA",6801.81,,6.64,3.11%,9421652
594,"LUNR","Intuitive Machines Inc","Industrials","Aerospace & Defense","USA",3576.50,,17.60,-0.23%,8473653
595,"LW","Lamb Weston Holdings Inc","Consumer Defensive","Packaged Foods","USA",5631.58,14.58,40.55,0.25%,4936348
596,"LXP","LXP Industrial Trust","Real Estate","REIT - Industrial","USA",2759.49,25.69,46.71,-0.36%,593782
597,"LYFT","Lyft Inc","Technology","Software - Application","USA",5203.27,1.84,13.07,0.93%,14834864
598,"M","Macy's Inc","Consumer Cyclical","Department Stores","USA",4533.31,10.02,17.05,-0.70%,6773862
599,"MAC","Macerich Co","Real Estate","REIT - Retail","USA",5006.22,,18.72,0.32%,1294321
600,"MAIN","Main Street Capital Corporation","Financial","Asset Management","USA",4945.85,9.94,54.89,0.42%,1008883
601,"MANH","Manhattan Associates, Inc","Technology","Software - Application","USA",8425.34,39.07,140.78,0.35%,676998
602,"MANU","Manchester United Plc","Communication Services","Entertainment","United Kingdom",2765.76,,16.04,0.38%,439881
603,"MARA","MARA Holdings Inc","Financial","Capital Markets","USA",3543.79,,9.32,6.39%,73339049
604,"MASI","Masimo Corp","Healthcare","Medical Devices","USA",9161.35,,175.49,-0.01%,1814182
605,"MAT","Mattel, Inc","Consumer Cyclical","Leisure","USA",4853.33,12.76,16.06,-0.99%,2717174
606,"MATX","Matson Inc","Industrials","Marine Shipping","USA",4557.98,10.74,149.74,0.34%,289278
607,"MAZE","Maze Therapeutics Inc","Healthcare","Biotechnology","USA",2416.08,,50.21,-3.13%,1065922
608,"MBLY","Mobileye Global Inc","Consumer Cyclical","Auto Parts","Israel",6369.26,,7.57,-0.26%,2906592
609,"MC","Moelis & Co","Financial","Capital Markets","USA",4131.44,17.59,51.75,0.72%,1212043
610,"MCHB","Mechanics Bancorp","Financial","Banks - Regional","USA",3289.58,,14.22,0.42%,274983
611,"MCW","Mister Car Wash Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",2286.21,22.42,6.96,0.00%,2053144
612,"MCY","Mercury General Corp","Financial","Insurance - Property & Casualty","USA",4927.37,9.11,88.96,1.58%,180505
613,"MDA","MDA Space Ltd","Industrials","Aerospace & Defense","Canada",3793.44,49.52,29.99,-2.63%,863890
614,"MDU","MDU Resources Group Inc","Utilities","Utilities - Regulated Gas","USA",4312.48,22.76,21.10,0.96%,2104170
615,"MEOH","Methanex Corp","Basic Materials","Chemicals","Canada",4002.35,38.10,51.75,-10.87%,2101567
616,"MGEE","MGE Energy, Inc","Utilities","Utilities - Regulated Electric","USA",2733.88,20.12,74.77,1.36%,207705
617,"MGM","MGM Resorts International","Consumer Cyclical","Resorts & Casinos","USA",9383.79,48.56,36.68,1.05%,3807550
618,"MGRC","McGrath Rentcorp","Industrials","Rental & Leasing Services","USA",2549.52,16.33,103.59,-0.39%,178645
619,"MGY","Magnolia Oil & Gas Corp","Energy","Oil & Gas E&P","USA",5498.97,17.10,29.50,1.94%,2538612
620,"MH","McGraw Hill Inc","Consumer Defensive","Education & Training Services","USA",2595.71,,13.59,-1.81%,351308
621,"MHK","Mohawk Industries, Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",6302.76,17.32,102.55,-0.44%,786081
622,"MHO","MI Homes Inc","Consumer Cyclical","Residential Construction","USA",3316.56,8.75,128.71,0.31%,292530
623,"MIAX","Miami International Holdings Inc","Financial","Capital Markets","USA",3525.83,,38.47,1.00%,990692
624,"MICC","Magnum Ice Cream Company N.V","Consumer Defensive","Packaged Foods","Netherlands",9490.03,30.80,15.50,1.11%,1456603
625,"MIDD","Middleby Corp","Industrials","Specialty Industrial Machinery","USA",6750.66,,143.08,-1.32%,452159
626,"MIR","Mirion Technologies Inc","Industrials","Specialty Industrial Machinery","USA",4682.54,170.53,18.69,-6.74%,8148249
627,"MIRM","Mirum Pharmaceuticals Inc","Healthcare","Biotechnology","USA",5470.57,,90.66,0.98%,505638
628,"MKTX","MarketAxess Holdings Inc","Financial","Capital Markets","USA",6402.95,27.04,180.12,-0.75%,601810
629,"MLCO","Melco Resorts & Entertainment Ltd ADR","Consumer Cyclical","Resorts & Casinos","Hong Kong",2183.96,12.02,5.59,1.64%,856052
630,"MLYS","Mineralys Therapeutics Inc","Healthcare","Biotechnology","USA",2158.04,,26.19,-2.96%,1393543
631,"MMS","Maximus Inc","Industrials","Specialty Business Services","USA",3949.86,11.02,72.41,-0.03%,455746
632,"MMSI","Merit Medical Systems, Inc","Healthcare","Medical Instruments & Supplies","USA",4157.26,32.90,69.95,2.61%,933719
633,"MMYT","MakeMyTrip Ltd","Consumer Cyclical","Travel Services","India",4316.46,92.80,45.50,-0.07%,1221416
634,"MNDY","Monday.Com Ltd","Technology","Software - Application","Israel",3800.89,33.41,74.86,1.74%,1363250
635,"MNR","Mach Natural Resources LP","Energy","Oil & Gas E&P","USA",2302.91,13.02,13.69,1.94%,708312
636,"MNSO","MINISO Group Holding Ltd ADR","Consumer Cyclical","Specialty Retail","China",5057.62,17.24,16.71,-0.30%,373529
637,"MOD","Modine Manufacturing Co","Consumer Cyclical","Auto Parts","USA",9941.94,104.67,188.54,-1.77%,507202
638,"MOG-A","Moog, Inc","Industrials","Aerospace & Defense","USA",9571.14,37.30,301.59,-1.56%,220384
639,"MOH","Molina Healthcare Inc","Healthcare","Healthcare Plans","USA",7683.80,17.44,149.20,0.01%,1556469
640,"MORN","Morningstar Inc","Financial","Financial Data & Stock Exchanges","USA",7252.14,20.56,183.21,1.24%,350110
641,"MOS","Mosaic Company","Basic Materials","Agricultural Inputs","USA",9306.08,17.37,29.31,-6.54%,18706900
642,"MPT","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",2862.98,,4.80,-4.29%,10031540
643,"MRCY","Mercury Systems Inc","Industrials","Aerospace & Defense","USA",4690.74,,78.16,-4.03%,1060989
644,"MRP","Millrose Properties Inc","Real Estate","REIT - Residential","USA",4363.40,11.61,28.30,-0.88%,1209041
645,"MRX","Marex Group Plc","Financial","Capital Markets","United Kingdom",2493.11,8.74,35.00,0.34%,494056
646,"MSA","MSA Safety Inc","Industrials","Security & Protection Services","USA",6871.66,25.00,177.22,-1.24%,205274
647,"MSGE","Madison Square Garden Entertainment Corp","Consumer Cyclical","Leisure","USA",2633.60,51.70,55.71,-1.50%,258817
648,"MSGS","Madison Square Garden Sports Corp","Communication Services","Entertainment","USA",7514.11,,312.18,-0.04%,169954
649,"MSM","MSC Industrial Direct Co., Inc","Industrials","Industrial Distribution","USA",5090.94,24.92,91.23,1.07%,513082
650,"MTCH","Match Group Inc","Communication Services","Internet Content & Information","USA",7163.12,12.89,30.79,2.29%,5372039
651,"MTDR","Matador Resources Co","Energy","Oil & Gas E&P","USA",7098.40,9.38,57.13,1.73%,1168476
652,"MTG","MGIC Investment Corp","Financial","Insurance - Specialty","USA",5597.39,8.29,26.04,-0.27%,2039586
653,"MTH","Meritage Homes Corp","Consumer Cyclical","Residential Construction","USA",4213.79,9.96,63.08,0.48%,1109014
654,"MTN","Vail Resorts Inc","Consumer Cyclical","Resorts & Casinos","USA",4694.30,21.49,131.66,-2.69%,743248
655,"MTRN","Materion Corp","Basic Materials","Other Industrial Metals & Mining","USA",2819.92,37.95,135.98,-1.75%,253199
656,"MTX","Minerals Technologies, Inc","Basic Materials","Specialty Chemicals","USA",2123.72,,68.40,0.78%,177258
657,"MUR","Murphy Oil Corp","Energy","Oil & Gas E&P","USA",5257.59,51.08,36.81,6.02%,6362171
658,"MUSA","Murphy USA Inc","Consumer Cyclical","Specialty Retail","USA",8465.46,18.81,456.72,0.29%,334969
659,"MWA","Mueller Water Products Inc","Industrials","Specialty Industrial Machinery","USA",4338.13,21.88,27.74,0.43%,1264313
660,"MWH","SOLV Energy Inc","Industrials","Infrastructure Operations","USA",2427.34,,27.85,-2.40%,308469
661,"MYRG","MYR Group Inc","Industrials","Engineering & Construction","USA",4057.98,34.64,261.13,1.33%,210133
662,"MZTI","Marzetti Co","Consumer Defensive","Packaged Foods","USA",4153.21,23.18,151.45,-0.33%,207803
663,"NAD","Nuveen Quality Municipal Income Fund","Financial","Closed-End Fund - Debt","USA",2792.23,42.71,11.96,-0.25%,902038
664,"NAMS","NewAmsterdam Pharma Company NV","Healthcare","Biotechnology","Netherlands",3290.60,,28.62,-4.02%,965085
665,"NATL","NCR Atleos Corp","Technology","Software - Application","USA",3246.53,19.53,44.07,-0.54%,400590
666,"NAVN","Navan Inc","Technology","Software - Application","USA",2212.93,,8.90,0.23%,1141641
667,"NBTB","NBT Bancorp. Inc","Financial","Banks - Regional","USA",2164.92,12.53,41.47,0.53%,199582
668,"NCLH","Norwegian Cruise Line Holdings Ltd","Consumer Cyclical","Travel Services","USA",8596.15,22.14,18.87,-3.03%,19604109
669,"NE","Noble Corp Plc","Energy","Oil & Gas Drilling","USA",7370.84,34.50,46.30,1.31%,1920119
670,"NEA","Nuveen AMT-Free Quality Municipal Income Fund","Financial","Closed-End Fund - Debt","USA",3462.91,41.36,11.58,-0.34%,874951
671,"NEU","NewMarket Corp","Basic Materials","Specialty Chemicals","USA",5494.26,13.17,584.66,-0.58%,148669
672,"NFG","National Fuel Gas Co","Energy","Oil & Gas Integrated","USA",9151.04,13.43,96.30,2.73%,812275
673,"NG","Novagold Resources Inc","Basic Materials","Gold","USA",4559.68,,10.41,-7.38%,3610520
674,"NGD","New Gold Inc","Basic Materials","Gold","Canada",7901.47,31.95,9.98,-6.90%,13983388
