"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
263,"CTRI","Centuri Holdings Inc","Utilities","Utilities - Regulated Gas","USA",2953.92,127.23,29.30,1.70%,821166
264,"CUBE","CubeSmart","Real Estate","REIT - Industrial","USA",8815.95,26.54,38.65,1.15%,1735119
265,"CUBI","Customers Bancorp Inc","Financial","Banks - Regional","USA",2214.21,10.44,64.72,-2.68%,298541
266,"CUK","Carnival plc ADR","Consumer Cyclical","Travel Services","United Kingdom",3486.90,11.91,23.86,-0.21%,2684659
267,"CURB","Curbline Properties Corp","Real Estate","REIT - Retail","USA",2794.36,71.06,26.52,-0.71%,806304
268,"CUZ","Cousins Properties Inc","Real Estate","REIT - Office","USA",3826.63,94.92,22.78,0.00%,1172317
269,"CVBF","CVB Financial Corp","Financial","Banks - Regional","USA",2551.69,12.41,18.79,-0.37%,1021816
270,"CVCO","Cavco Industries Inc","Consumer Cyclical","Residential Construction","USA",3854.12,21.56,496.59,-0.41%,109213
271,"CVI","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",2872.16,106.37,28.57,-0.66%,789331
272,"CVLT","Commvault Systems Inc","Technology","Software - Application","USA",3472.22,40.92,78.96,-2.34%,1128715
273,"CVSA","Covista Inc","Consumer Defensive","Education & Training Services","USA",3627.19,15.48,105.11,1.22%,246712
274,"CWAN","Clearwater Analytics Holdings Inc","Technology","Software - Application","USA",6845.95,,23.17,0.09%,4146752
275,"CWEN","Clearway Energy Inc","Utilities","Utilities - Renewable","USA",7833.80,26.48,38.21,0.50%,815113
276,"CWEN-A","Clearway Energy Inc","Utilities","Utilities - Renewable","USA",7833.80,26.33,37.99,0.53%,259517
277,"CWK","Cushman & Wakefield Ltd","Real Estate","Real Estate Services","Bermuda",2814.32,32.30,12.14,2.10%,1520209
278,"CWST","Casella Waste Systems, Inc","Industrials","Waste Management","USA",5595.00,713.28,88.09,-2.86%,929528
279,"CWT","California Water Service Group","Utilities","Utilities - Regulated Water","USA",2695.86,21.03,45.20,1.87%,273678
280,"CXT","Crane NXT Co","Industrials","Specialty Industrial Machinery","USA",2428.14,16.90,42.27,-1.35%,443045
281,"CYTK","Cytokinetics Inc","Healthcare","Biotechnology","USA",7397.16,,60.06,0.10%,1933991
282,"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",5710.80,,28.06,-1.23%,4778764
283,"DAN","Dana Inc","Consumer Cyclical","Auto Parts","USA",3409.22,57.36,31.38,-1.60%,1394067
284,"DAR","Darling Ingredients Inc","Consumer Defensive","Packaged Foods","USA",8691.47,140.37,54.80,-2.72%,3096999
285,"DAVE","Dave Inc","Technology","Software - Application","USA",2874.91,15.71,212.02,-0.39%,522157
286,"DAWN","Day One Biopharmaceuticals Inc","Healthcare","Biotechnology","USA",2201.27,,21.31,0.19%,5101598
287,"DBD","Diebold Nixdorf Inc","Technology","Software - Application","USA",2549.34,28.07,72.48,-0.97%,188718
288,"DBRG","DigitalBridge Group Inc","Financial","Asset Management","USA",2902.01,34.02,15.37,0.00%,2124370
289,"DBX","Dropbox Inc","Technology","Software - Infrastructure","USA",5997.16,13.87,25.75,-0.62%,2538694
290,"DCI","Donaldson Co. Inc","Industrials","Specialty Industrial Machinery","USA",9936.86,26.82,85.80,-1.36%,557600
291,"DDS","Dillard's Inc","Consumer Cyclical","Department Stores","USA",9097.05,16.00,582.66,1.55%,63674
292,"DHT","DHT Holdings Inc","Energy","Oil & Gas Midstream","Bermuda",2705.40,12.83,16.85,0.06%,5190813
293,"DIOD","Diodes, Inc","Technology","Semiconductors","USA",2930.65,44.84,63.88,3.62%,480462
294,"DJT","Trump Media & Technology Group Corp","Communication Services","Internet Content & Information","USA",2711.97,,9.80,-1.41%,4120384
295,"DK","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",2495.21,,41.72,-0.57%,889670
296,"DLB","Dolby Laboratories Inc","Industrials","Specialty Business Services","USA",5780.16,24.40,60.50,-3.83%,721685
297,"DLO","DLocal Limited","Technology","Software - Infrastructure","USA",3342.21,19.31,11.34,-1.82%,720474
298,"DNLI","Denali Therapeutics Inc","Healthcare","Biotechnology","USA",3262.23,,20.57,-0.63%,1290238
